,Profession,Commune,Nom du professionnel,latitude,longitude
73,Chirurgien-dentiste,Lyon,ARNAUD LAFON,45.751029,4.839093
74,Chirurgien-dentiste,Lyon,AXELLE AMAR,45.771406,4.846918
75,Anesthésiste réanimateur,Lyon,LAETITIA GAMERRE,45.735484,4.876521
76,Médecin généraliste,Lyon,MARC ZERBIB,45.771191,4.851933
77,Médecin généraliste,Lyon,MARINE AUROY,45.756244,4.830332
78,Ophtalmologiste,Lyon,LATRA ABDESSELAM BERBAGUI,45.753158,4.869142
79,Médecin généraliste,Lyon,ROLAND BROCHE,45.758932,4.792286
80,Rhumatologue,Lyon,CLAIRE EYMARD GIBERT,45.734671,4.870653
81,Chirurgien-dentiste,Lyon,VALENTIN GARYGA,45.761589,4.835559
82,Médecin généraliste,Lyon,AUDE WOERNER,45.747365,4.857454
83,Chirurgien-dentiste,Lyon,CAROLINE MOULIN,45.761309,4.836527
84,Chirurgien-dentiste,Lyon,ANA SEMPERE HANCK,45.753705,4.847216
85,Chirurgien orthopédiste et traumatologue,Sainte-Foy-lès-Lyon,CLEMENT SILVESTRE,45.75014,4.797567
86,Médecin généraliste,Sainte-Foy-lès-Lyon,SEILLA POU,45.75014,4.797567
87,Chirurgien-dentiste,Lyon,JEAN YVES VERNE,45.751702,4.852717
88,Pédiatre,Sainte-Foy-lès-Lyon,FLORENCE GOUGEON,45.741317,4.79375
89,Gynécologue obstétricien,Lyon,GERALD SELIGMANN,45.759761,4.835173
90,Médecin généraliste,Lyon,ANNE SOPHIE CHASTAGNER,45.749665,4.854839
91,Cardiologue,Lyon,ERIC RANNOU,45.734694,4.867236
92,Chirurgien-dentiste,Lyon,SAMUEL CABANNES,45.758345,4.833802
93,Spécialiste en médecine physique et de réadaptation,Lyon,GREGOIRE LE BLAY,45.734671,4.870653
94,Médecin généraliste,Lyon,ANTOINE PIERRE,45.788068,4.790611
95,Radiologue,Lyon,ANNE LAURE BAGGIO GUIBAL,45.778923,4.83233
96,Chirurgien-dentiste,Lyon,CHARLES VEYRES,45.752181,4.825026
97,Anesthésiste réanimateur,Lyon,GUILLAUME BOULAY,45.788068,4.790611
98,Psychiatre,Lyon,OLIVIER PRALINE,45.766717,4.845714
99,Ophtalmologiste,Lyon,PHILIPPE DENIS,45.778923,4.83233
100,Médecin généraliste,Lyon,LUCILE WAHL,45.773872,4.828015
101,Cardiologue,Lyon,EMMANUELLE PAULI,45.76704,4.851076
102,Médecin généraliste,Lyon,MARC MOCHREF RAZAVI,45.772185,4.85311
103,Médecin généraliste,Lyon,SILVERE FINO,45.755517,4.875391
104,Chirurgien-dentiste,Lyon,NICOLAS RICHARD,45.758588,4.846481
105,Sage-femme,Lyon,CHARLINE DIDIER,45.763818,4.866219
106,Chirurgien-dentiste,Chazelles-sur-Lyon,THIBAULT BOYER,45.638898,4.391574
107,Radiologue,Lyon,GAELLE BACH,45.759933,4.796662
108,Gynécologue obstétricien,Lyon,JEAN DANIEL GENNARO,45.769329,4.85754
109,Rhumatologue,Lyon,FREDERIC NECTOUX,45.758113,4.829264
110,Radiologue,Lyon,LUC HENRY,45.788068,4.790611
111,Gastro-entérologue et hépatologue,Sainte-Foy-lès-Lyon,LAURE SERVAIS,45.75014,4.797567
112,Chirurgien orthopédiste et traumatologue,Lyon,PIERRE VALLESE,45.76998,4.826596
113,Radiologue,Lyon,ALBAN CHAZOT,45.788068,4.790611
114,Dermatologue et vénérologue,Lyon,GENEVIEVE CHOQUET KASTYLEVSKY,45.758113,4.829264
115,Chirurgien-dentiste,Lyon,PHILIPPE BUGNET,45.77759,4.827176
116,Rhumatologue,Lyon,MIREILLE JOURDAN,45.752483,4.850765
117,Anesthésiste réanimateur,Lyon,ALBAN FREDERIC MIRABAUD,45.788068,4.790611
118,Oto-Rhino-Laryngologue (ORL) et chirurgien cervico-facial,Lyon,JACQUES LEVAL,45.756918,4.83044
119,Chirurgien-dentiste,Lyon,MARION GUERIN,45.74918,4.84733
120,Chirurgien-dentiste,Lyon,PIERRE PAILLET,45.775056,4.844799
121,Chirurgien général,Lyon,JEAN SEBASTIEN LANNE,45.740134,4.888155
122,Ophtalmologiste,Lyon,YOUSSEF EL ALAMI,45.751067,4.853444
123,Ophtalmologiste,Lyon,NICOLAS PERRILLAT COLLOMB,45.740389,4.816516
124,Gastro-entérologue et hépatologue,Lyon,SARAH LEBLANC,45.736766,4.875293
125,Chirurgien-dentiste,Lyon,NATHALIE CAILLAULT,45.760641,4.845755
126,Sage-femme,Lyon,ELSA CHAMIOT,45.763946,4.848329
127,Chirurgien-dentiste,Lyon,MARINE OBADIA,45.753356,4.828566
128,Chirurgien-dentiste,Lyon,KENZO MARTININGO,45.768139,4.8469
129,Chirurgien viscéral,Lyon,VINCENT FRERING,45.788405,4.785526
130,Pédiatre,Lyon,GWENAELLE VOGELS,45.741534,4.883643
131,Médecin généraliste,Lyon,SEBASTIEN HAGYARD,45.747792,4.872193
132,Stomatologist,Lyon,YACHAR BENAMRAN,45.748975,4.861667
133,Médecin généraliste,Chazelles-sur-Lyon,STEPHANE EPINAT,45.635635,4.38752
134,Anesthésiste réanimateur,Lyon,XAVIER BABIN,45.734463,4.875879
135,Chirurgien-dentiste,Lyon,DIDIER VILLEMEY,45.767895,4.83435
136,Sage-femme,Lyon,CLEMENCE LE BART DE LA BROISE,45.739345,4.834737
137,Gynécologue obstétricien,Lyon,MYLENE COUILLEROT,45.765293,4.851382
138,Néphrologue,Lyon,OMAR MAZOUZ,45.734694,4.867236
139,Chirurgien-dentiste,Lyon,JULIE LAXAN LEPILLIEZ,45.764761,4.853179
140,Anesthésiste réanimateur,Sainte-Foy-lès-Lyon,STEPHANIE MARTIN,45.75014,4.797567
141,Sage-femme,Lyon,ANNE CECILE FAUCONNIER,45.73902,4.836329
142,Chirurgien orthopédiste et traumatologue,Lyon,MICHEL NINOU,45.769605,4.845716
143,Chirurgien-dentiste,Lyon,DAMIEN FEUILLET,45.76682,4.83615
144,Radiologue,Sainte-Foy-lès-Lyon,LISE MEZZETTA,45.75014,4.797567
145,Radiologue,Lyon,STEPHANIE GRIVOLAT,45.741534,4.883643
146,Médecin généraliste,Lyon,JIHANE SOPHIE NABZAR,45.740134,4.888155
147,Chirurgien-dentiste,Lyon,CHARLOTTE HEUZE,45.76796,4.851135
148,Médecin généraliste,Lyon,TIPHAINE SAPALY,45.764822,4.849609
149,Médecin généraliste,Lyon,CELIA CHEURFA,45.766261,4.857716
150,Radiologue,Lyon,LIDY CUMINAL MAVROVI,45.741534,4.883643
151,Ophtalmologiste,Lyon,ANNE GOURRAUD,45.741534,4.883643
152,Chirurgien-dentiste,Sainte-Foy-lès-Lyon,AURELE JOACHY,45.733464,4.779444
153,Médecin généraliste,Chazelles-sur-Lyon,MARJOLAINE BASSET NEEL,45.638824,4.393079
154,Chirurgien-dentiste,Lyon,LAURENCE HUGUENET,45.745578,4.841152
155,Chirurgien-dentiste,Lyon,SERGE SOBOL,45.761861,4.837033
156,Radiologue,Sainte-Foy-lès-Lyon,BERNARD VENIN,45.75014,4.797567
157,Chirurgien-dentiste,Lyon,SOLENNE AUDOUX,45.760077,4.847639
158,Chirurgien-dentiste,Lyon,PHILIPPE BALAGNA,45.752575,4.857715
159,Gastro-entérologue et hépatologue,Lyon,BERTRAND NAPOLEON,45.736766,4.875293
160,Anesthésiste réanimateur,Lyon,GERALDINE MARIAT,45.76998,4.826596
161,Chirurgien urologue,Lyon,YANN SCHOEPEN,45.758652,4.831766
162,Dermatologue et vénérologue,Lyon,THIERRY SECCHI,45.772186,4.85013
163,Gynécologue obstétricien,Lyon,ISABELLE MIGNON,45.741137,4.88481
164,Chirurgien-dentiste,Lyon,HELENE FAYOLLE,45.743895,4.870808
165,Médecin généraliste,Lyon,KAAJAL UMROWSING,45.751067,4.853444
166,Chirurgien-dentiste,Lyon,ALAIN CHABOUD,45.775319,4.807965
167,Gastro-entérologue et hépatologue,Lyon,FRANCOIS MION,45.743397,4.87997
168,Médecin généraliste,Lyon,HUBERT MAISONNEUVE,45.731114,4.886952
169,Gynécologue obstétricien,Sainte-Foy-lès-Lyon,AUDE LUNEL POTENCIER,45.75014,4.797567
170,Gynécologue obstétricien,Lyon,CLEMENTINE SCIARD,45.761355,4.833106
171,Radiologue,Lyon,PHILIPPE TANJI,45.741534,4.883643
172,Médecin généraliste,Lyon,LUCILE BIFFI,45.753815,4.842603
173,Chirurgien-dentiste,Lyon,ARNAUD MICHEL,45.78504,4.853435
174,Sage-femme,Lyon,LISA PEDERODA,45.770158,4.84112
175,Anesthésiste réanimateur,Lyon,BENOIT REYNAUD,45.771409,4.859181
176,Anesthésiste réanimateur,Lyon,AXEL BUCKERT,45.741534,4.883643
177,Dermatologue et vénérologue,Lyon,LAURA WEILER,45.746628,4.821016
178,Chirurgien-dentiste,Sainte-Foy-lès-Lyon,CLAIRE MARIA,45.736747,4.80615
179,Chirurgien-dentiste,Lyon,DELPHINE ODIN,45.753207,4.82575
180,Cardiologue,Lyon,VINCENT MALQUARTI,45.788068,4.790611
181,Chirurgien-dentiste,Lyon,JULIE JOMARD,45.777815,4.806289
182,Gynécologue obstétricien,Lyon,FLORENCE FREDOUILLE,45.768073,4.84911
183,Radiologue,Lyon,AURELIE BANSAC LAMBLIN,45.757422,4.871748
184,Médecin généraliste,Lyon,VIRGINIE DULAC BERTANI,45.756264,4.800363
185,Oto-Rhino-Laryngologue (ORL) et chirurgien cervico-facial,Lyon,PIERRE TAKIZAWA,45.756918,4.83044
186,Chirurgien urologue,Lyon,MAXIME VINET,45.734463,4.875879
187,Ophtalmologiste,Lyon,JEAN MARC BARRUT,45.757058,4.829786
188,Anesthésiste réanimateur,Lyon,PAULINE HACQUARD,45.771861,4.859019
189,Chirurgien-dentiste,Lyon,EDGAR MAILLOT,45.766826,4.830302
190,Gynécologue obstétricien,Lyon,CHRISTINE TOURNIER,45.751956,4.800654
191,Chirurgien-dentiste,Lyon,FATIHA LATRECHE,45.750169,4.84499
192,Pédiatre,Lyon,VINCENT FOURNIER,45.753936,4.80506
193,Dermatologue et vénérologue,Sainte-Foy-lès-Lyon,MARIE CECILE LUAUTE MARCILLY,45.736385,4.806084
194,Médecin généraliste,Lyon,BENJAMIN LERNOULD,45.764101,4.868802
195,Chirurgien-dentiste,Lyon,HUGUETTE ATTIA,45.756734,4.811579
196,Médecin généraliste,Lyon,CORINNE BUGEL,45.763761,4.856386
197,Chirurgien-dentiste,Sainte-Foy-lès-Lyon,CAMILLE FAVIER LESAGE,45.741283,4.794581
198,Chirurgien-dentiste,Lyon,JULIEN MARCHAND,45.765343,4.8494
199,Anesthésiste réanimateur,Sainte-Foy-lès-Lyon,PETER LIMPAR,45.75014,4.797567
200,Sage-femme,Chazelles-sur-Lyon,CLARA GARRIC,45.639973,4.39394
201,Radiologue,Lyon,ANNE FREDERIQUE MANICHON,45.741534,4.883643
202,Cancérologue médical,Lyon,DOMINIQUE BEAL ARDISSON,45.734463,4.875879
203,Médecin généraliste,Lyon,MAILYS BLUM VENET,45.729891,4.864474
204,Chirurgien-dentiste,Lyon,MARINE VEILLIE,45.738731,4.820822
205,Radiologue,Lyon,GILDAS BONHOMME,45.788068,4.790611
206,Cardiologue,Sainte-Foy-lès-Lyon,ALAIN DUBOST,45.750178,4.797973
207,Radiologue,Sainte-Foy-lès-Lyon,SEBASTIEN RONZE,45.747125,4.789942
208,Sage-femme,Lyon,SOLENE BERGMANN,45.743503,4.865435
209,Chirurgien-dentiste,Lyon,CHLOE FOURNIER BIDOZ,45.749444,4.886949
210,Sage-femme,Lyon,CAROLINE DE MATOS,45.740134,4.888155
211,Chirurgien-dentiste,Lyon,CLEMENT NOWICKI,45.753887,4.846687
212,Médecin généraliste,Lyon,PIERRE YVES WILLERMOZ,45.763931,4.792191
213,Sage-femme,Lyon,LAETITIA CHASSAING,45.754293,4.781275
214,Chirurgien-dentiste,Lyon,BRUNO ANTOINE,45.738577,4.868709
215,Ophtalmologiste,Lyon,HACHEMI NEZZAR,45.739649,4.83574
216,Anesthésiste réanimateur,Lyon,GUILLEMETTE VAUDELIN,45.76998,4.826596
217,Médecin généraliste,Lyon,CAROLINE PAUCHARD,45.729879,4.878976
218,Chirurgien-dentiste,Lyon,AGNES ROTH NAPOLEON,45.773969,4.832108
219,Radiologue,Lyon,ELSA GUILLOT,45.741534,4.883643
220,Radiologue,Lyon,YANN BILLAUD,45.759933,4.796662
221,Chirurgien-dentiste,Lyon,ALEXANDRA CHEMOUNY,45.748164,4.872941
222,Psychiatre,Lyon,ERICK ZIMMERMANN,45.766836,4.835872
223,Chirurgien-dentiste,Lyon,FRANCK SAYAC,45.761812,4.849317
224,Chirurgien-dentiste,Lyon,THOMAS ZYRKOWSKI,45.738731,4.820822
225,Chirurgien orthopédiste et traumatologue,Lyon,CHRISTOPHE RIZZO,45.771861,4.859019
226,Radiologue,Lyon,ROMAIN BOUTIER,45.76998,4.826596
227,Médecin généraliste,Lyon,SERGE FRANCHINI,45.770549,4.85624
228,Radiologue,Lyon,CATHERINE CELARIER CHAMPION,45.756796,4.836005
229,Médecin généraliste,Lyon,JULIEN ANRIOT,45.740134,4.888155
230,Radiologue,Lyon,LUC HENRY,45.787932,4.787614
231,Chirurgien plasticien,Lyon,JOSEPH CHATEAU,45.769605,4.845716
232,Médecin généraliste,Lyon,GERSENDE PUTHOD,45.754525,4.806567
233,Médecin généraliste,Lyon,MICHEL TILL,45.770765,4.848604
234,Anesthésiste réanimateur,Lyon,AURORE CAILLAULT,45.758092,4.796379
235,Ophtalmologiste,Lyon,PHILIPPE SANSON,45.740389,4.816516
236,Radiologue,Lyon,REGIS CHIRCOP,45.741534,4.883643
237,Cardiologue,Lyon,GUILLAUME CELLIER,45.788405,4.785526
238,Chirurgien-dentiste,Lyon,BEATRICE SERRALTA,45.748426,4.855119
239,Chirurgien-dentiste,Lyon,RAPHAEL PERRICARD,45.7453,4.870999
240,Sage-femme,Lyon,PIERRE ANTOINE MIGEON,45.769986,4.858892
241,Endocrinologue-diabétologue,Lyon,STEPHANIE BOURGEOIS,45.741137,4.88481
242,Médecin généraliste,Lyon,PHILIPPE LACROIX,45.771409,4.859181
243,Dermatologue et vénérologue,Lyon,BLANDINE PINCEMAILLE,45.74218,4.869409
244,Médecin généraliste,Lyon,FANNY TIERCELIN,45.746435,4.823779
245,Chirurgien-dentiste,Lyon,JAMILA LORENTZ,45.763758,4.85579
246,Chirurgien-dentiste,Lyon,REGIS LE GALL,45.763953,4.832142
247,Sage-femme,Lyon,KARINE GESTAS,45.772644,4.850046
248,Radiologue,Lyon,XAVIER MEYER,45.787932,4.787614
249,Chirurgien-dentiste,Lyon,ANTOINE CHARRIN,45.756217,4.798206
250,Dermatologue et vénérologue,Lyon,JULIE MARTINELLI,45.746628,4.821016
251,Médecin généraliste,Lyon,BENEDICTE FAVREAU,45.773535,4.844908
252,Médecin généraliste,Lyon,AUGUSTIN DE LONGEVILLE,45.730635,4.828682
253,Chirurgien-dentiste,Lyon,CLEMENCE VOLOT,45.773769,4.844164
254,Chirurgien-dentiste,Lyon,FREDERIQUE DAVID,45.763531,4.847886
255,Anesthésiste réanimateur,Lyon,RICHARD DEBON,45.734463,4.875879
256,Anesthésiste réanimateur,Lyon,DOROTHEE BLAYAC,45.771409,4.859181
257,Chirurgien-dentiste,Lyon,NICOLAS ESTRABOL,45.764374,4.835729
258,Chirurgien-dentiste,Lyon,ANNE SOPHIE SIMONIN,45.763758,4.85579
259,Chirurgien-dentiste,Lyon,JULIE AMOUROUX CORBIER,45.776088,4.820661
260,Chirurgien-dentiste,Lyon,JEAN PIERRE GLAIVE,45.751261,4.890077
261,Ophtalmologiste,Lyon,ERIC BAGGIO,45.788068,4.790611
262,Chirurgien général,Lyon,PATRICK VAN BOX SOM,45.734463,4.875879
263,Médecin généraliste,Lyon,MARION CHEYNET,45.786012,4.808061
264,Médecin généraliste,Lyon,ALEXIS PRIOREAU,45.753815,4.842603
265,Rhumatologue,Lyon,ADRIEN ROUGELOT,45.76998,4.826596
266,Chirurgien-dentiste,Lyon,SONIA VILLEVIEILLE GROLE,45.750883,4.88843
267,Médecin généraliste,Lyon,BENJAMIN POTENCIER,45.745652,4.871593
268,Anesthésiste réanimateur,Lyon,PIERRE GERPHAGNON,45.788068,4.790611
269,Rhumatologue,Lyon,ANNE FOUQUE AUBERT,45.734671,4.870653
270,Médecin généraliste,Lyon,ALBERIC MERCIER,45.748775,4.84252
271,Chirurgien-dentiste,Lyon,MARIELLE LAUGT,45.753294,4.826216
272,Chirurgien général,Lyon,RAPHAEL BOURDARIAT,45.734463,4.875879
273,Médecin généraliste,Lyon,SYLVIE POLAK,45.770106,4.857796
274,Radiologue,Lyon,ALEXANDRE BEN CHEIKH,45.788405,4.785526
275,Chirurgien-dentiste,Lyon,SIMON VERHILLE,45.743895,4.870808
276,Chirurgien-dentiste,Lyon,ANNE SOPHIE MOLINIE,45.749444,4.886949
277,Gynécologue obstétricien,Sainte-Foy-lès-Lyon,FRANCK JACQUOT,45.732164,4.804071
278,Radiologue,Lyon,MARC FUHRMANN,45.776927,4.806435
279,Ophtalmologiste,Lyon,LEA IMBEAU,45.754419,4.847062
280,Chirurgien-dentiste,Lyon,CAROLE HAGUENAUER,45.773483,4.848087
281,Chirurgien orthopédiste et traumatologue,Lyon,DANIEL BOUBLIL,45.771861,4.859019
282,Radiologue,Lyon,NICOLAS GIROUIN,45.778923,4.83233
283,Sage-femme,Lyon,CHRISTIAN GUYS,45.737176,4.852094
284,Chirurgien orthopédiste et traumatologue,Lyon,MATHIEU THAUNAT,45.734671,4.870653
285,Dermatologue et vénérologue,Lyon,ELSA MARION,45.75828,4.829388
286,Médecin généraliste,Lyon,FRANCOISE CACHARD,45.746789,4.837374
287,Chirurgien-dentiste,Lyon,PATRICK BEYSSAC,45.761309,4.836527
288,Chirurgien-dentiste,Lyon,MARION BOSSY,45.766395,4.811521
289,Chirurgien-dentiste,Lyon,ELIAS BITTAR,45.768519,4.859167
290,Chirurgien-dentiste,Lyon,ALICIA STEYER,45.77338,4.820162
291,Gastro-entérologue et hépatologue,Lyon,PASCAL ARTRU,45.734463,4.875879
292,Gastro-entérologue et hépatologue,Lyon,LEA CLAVEL,45.734463,4.875879
293,Radiologue,Lyon,BRUNO EICHENLAUB,45.756587,4.798997
294,Médecin généraliste,Lyon,STEPHANE BERNARD,45.754087,4.778502
295,Chirurgien-dentiste,Lyon,EMILIE HEVIN,45.757417,4.814791
296,Chirurgien-dentiste,Lyon,FANNY COUVERT,45.77759,4.827176
297,Chirurgien-dentiste,Lyon,ERIC DUMOLARD,45.745814,4.786784
298,Anesthésiste réanimateur,Lyon,ALEXANDRE VULLIEZ,45.788068,4.790611
299,Dermatologue et vénérologue,Lyon,FANNY LOCATELLI,45.764,4.836911
300,Chirurgien plasticien,Lyon,EMMANUEL DELAY,45.759761,4.835173
301,Médecin généraliste,Lyon,JEAN PHILIPPE HAGER,45.734671,4.870653
302,Chirurgien-dentiste,Lyon,CHRISTIAN DEVOUARD,45.756681,4.831715
303,Chirurgien-dentiste,Lyon,SEBASTIEN MONCHANIN,45.78504,4.853435
304,Chirurgien-dentiste,Lyon,PASCAL EYMERIC,45.745848,4.863921
305,Pneumologue,Lyon,MARTIN VEAUDOR,45.734463,4.875879
306,Chirurgien orthopédiste et traumatologue,Lyon,PRIKESHT MUKISH,45.76998,4.826596
307,Psychiatre,Lyon,GEORGETTE VICARD,45.800427,4.820421
308,Médecin généraliste,Lyon,MARIE FRANCE VACHET,45.765272,4.854023
309,Ophtalmologiste,Lyon,AGNES RIVIERE,45.751067,4.853444
310,Médecin généraliste,Lyon,LAURENCE CRETIN,45.788068,4.790611
311,Chirurgien-dentiste,Lyon,ACHILLE PEIVANDI,45.758336,4.83036
312,Chirurgien viscéral,Lyon,CHRISTOPHE DUCHAMP,45.788068,4.790611
313,Chirurgien-dentiste,Lyon,ROCH CORMAILLE DE VALBRAY,45.746826,4.867897
314,Chirurgien-dentiste,Lyon,LAURENT ALBANO,45.742503,4.869235
315,Anesthésiste réanimateur,Sainte-Foy-lès-Lyon,DANIEL SILVESTRE,45.75014,4.797567
316,Chirurgien-dentiste,Lyon,ANTOINE MACHURAT,45.764812,4.832818
317,Ophtalmologiste,Lyon,PHILIPPE PROTAT,45.769024,4.848532
318,Médecin généraliste,Lyon,EMELINE GRANGE,45.749665,4.854839
319,Médecin généraliste,Lyon,DENIS JAGNOUX,45.767778,4.858003
320,Endocrinologue-diabétologue,Lyon,AURELIE BROSSE,45.741137,4.88481
321,Sage-femme,Lyon,MARGAUX FESSART,45.763946,4.848329
322,Chirurgien-dentiste,Lyon,GWENDAL PAULIC,45.775784,4.834122
323,Chirurgien-dentiste,Lyon,ROBERT FROMENTAL,45.767958,4.85969
324,Chirurgien-dentiste,Lyon,VERONIQUE GROSSET PEYRONNEL,45.767356,4.813826
325,Chirurgien-dentiste spécialiste en orthopédie dento-faciale,Lyon,VIRGINIE BETIN CHURET,45.778719,4.807319
326,Anesthésiste réanimateur,Sainte-Foy-lès-Lyon,MELCHIOR KOOPMAN,45.75014,4.797567
327,Chirurgien-dentiste,Lyon,NICOLE PERRELLE,45.765343,4.8494
328,Chirurgien-dentiste,Lyon,MICHELE PAPILLARD PICHAT,45.759427,4.832737
329,Chirurgien vasculaire,Lyon,IVAN ALEKSIC,45.734463,4.875879
330,Anesthésiste réanimateur,Lyon,DAVID ROSAY,45.741534,4.883643
331,Chirurgien urologue,Lyon,FRANCOIS GALONNIER,45.758652,4.831766
